nombre_materia,codigo_materia,creditos_teoricos,creditos_practicos
CONSTRUCCIÓN DE EQUIDAD EN LOS PROYECTOS,ESPAE003087,0,0
CONSTRUCCIÓN DE INDICADORES,ESPAE003079,0,0
CONSTRUCCION DE LOS B/P,PRTP01214,3,1
CONSTRUCCIONES ELECTRÓNICAS (FF),FIEC01537,4,0
CONSTRUCCIONES METÁLICAS (INR),FMAR03228,4,1
CONSTRUCCIONES MINERAS DE SUPERFICIE,FICT03541,4,0
CONSTRUCCIONES RURALES,FIMP00810,0,4
CONSTRUCC.NO METALICAS(INR),FMAR03244,4,0
CONSULTORÍA DE PROYECTOS (2005),ICM02378,4,0
CONTAB.COSTOS,ICHE02477,4,0
CONTABILIDAD,ICHE01222,4,0
CONTABILIDAD AGROPECUARIA(IPM),FIMP05280,3,0
CONTABILIDAD APLICADA,ICHE02618,4,0
CONTABILIDAD AVANZADA,ICM02915,4,0
CONTABILIDAD BANCARIA,ICHE02782,3,0
CONTABILIDAD BASICA(TQ),ICHE02626,2,1
CONTABILIDAD DE COSTOS,ICHE01966,4,0
CONTABILIDAD DE COSTOS,FIMP08599,2,1
CONTABILIDAD DE COSTOS II,ICM02840,4,0
CONTABILIDAD DE NEGOCIOS,ICHE04366,4,0
CONTABILIDAD DE SIST. FINANCIEROS,ICHE03608,4,0
CONTABILIDAD ESPECIAL,ICM02881,4,0
CONTABILIDAD FINANCIERA,ICHE02089,4,0
CONTABILIDAD FINANCIERA (LAT),PRTCO02873,4,0
CONTABILIDAD GENERAL,ICHE02469,4,0
CONTABILIDAD GENERAL III (AUDIT.),ICHE03616,4,0
Contabilidad Gerencial,ICHE002014,0,0
CONTABILIDAD GERENCIAL,ICHE001156,0,0
CONTABILIDAD GRAL. I (AUDIT.),ICHE02980,4,0
CONTABILIDAD GRAL. II (AUDIT.),ICHE03038,4,0
CONTABILIDAD GUBERNAMENTAL (AUDIT.),ICHE03079,4,0
CONTABILIDAD I,ICHE03657,4,0
CONTABILIDAD I (1998-3),PRTCO01214,4,0
CONTABILIDAD II,ICHE03665,4,0
CONTABILIDAD II,ICHE03780,3,0
CONTABILIDAD II (1998-3),PRTCO01248,2,2
CONTABILIDAD INTERNACIONAL,ICHE03624,4,0
CONTABILIDAD I (TURISMO),ICHE03772,4,0
CONTABILIDAD PRINCIPIOS BÁSICO,ESPAE003830,0,0
CONTABILIDAD Y CONTROL DE GESTIÓN,ESPAE002857,0,0
CONTAB.SIST.BANCARIO (AUDIT.),ICHE03046,4,0
CONTAMINACION,FMAR01818,2,1
CONTAMINACIÓN AMBIENTAL,FMAR03830,6,0
CONTAMINACIÓN AMBIENTAL,ADSG1002,2,2
CONTAMINACIÓN AUTOMOTRIZ Y SUS EFECTOS,PRTME01446,3,0
CONTAMINACIÓN MARINA,FMAR01412,2,1
CONTAM. Y CALIDAD AIRE,FIMP07047,3,0
CONTBLD.DOC.MERCANTIL(TJ),PRTCO01883,0,0
CONT.CALD.SOFTWARE(IIT95),FIEC04804,4,0
CONTROL AUTOMÁTICO,FIEC03418,5,0
CONTROL CALIDAD (IAPI),FIMP04879,2,2
CONTROL DE CALIDAD,PRTAL00760,3,0
CONTROL DE CALIDAD,PRTCO02840,4,0
CONTROL DE CALIDAD,PRTAL00760L,0,2
CONTROL DE CALIDAD (ING. MARITIMA),FMAR00893,4,0
CONTROL DE CALIDAD (MECANICA),FIMP02428,3,0
CONTROL DE CALIDAD (TA),FIMP07344,2,2
CONTROL DE EMISIONES,PRTME01123,3,1
CONTROL DE GESTIÓN,ICHE03897,3,0
CONTROL DE MALEZAS,FIMP00984,2,2
CONTROL DE PROCESOS INDUSTRIALES,FIEC04309,4,0
CONTROL DE PROCESOS QUÍMICOS (INQ 2005),ICQ00679,4,0
CONTROL DE SISTEMAS DE POTENCIA,FIEC05512,4,0
CONTROLES ELECTRICOS,PRTEL00356,2,3
CONTROLES INDUSTRIALES,PRTEL00406,3,2
